"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Autenticación de usuarios en SauceDemo","4","0","","0"
"0","","0","Flujo de compra End-to-End","1","0","","0"
